Id,Rating
1,2
2,1
3,4
4,3
5,2
6,2
7,4
8,3
9,4
10,5
11,5
12,1
13,1
14,4
15,1
16,1
17,1
18,1
19,4
20,4
21,2
22,1
23,5
24,2
25,5
26,3
27,1
28,1
29,5
30,4
31,1
32,3
33,2
34,3
35,4
36,4
37,2
38,1
39,4
40,5
41,4
42,1
43,5
44,5
45,1
46,1
47,1
48,2
49,5
50,4
51,1
52,3
53,3
54,2
55,1
56,2
57,1
58,2
59,5
60,2
61,4
62,3
63,1
64,4
65,1
66,5
67,4
68,1
69,1
70,4
71,5
72,2
73,2
74,2
75,2
76,1
77,1
78,2
79,4
80,3
81,5
82,2
83,3
84,3
85,1
86,4
87,3
88,5
89,2
90,5
91,1
92,1
93,5
94,1
95,3
96,3
97,1
98,3
99,3
100,3
101,3
102,1
103,3
104,4
105,5
106,5
107,5
108,4
109,2
110,3
111,2
112,2
113,1
114,2
115,1
116,4
117,2
118,4
119,5
120,1
121,5
122,4
123,2
124,3
125,4
126,1
127,3
128,4
129,5
130,3
131,2
132,5
133,3
134,3
135,2
136,2
137,2
138,1
139,1
140,4
141,5
142,4
143,2
144,1
145,4
146,4
147,3
148,4
149,4
150,5
151,1
152,3
153,3
154,4
155,2
156,5
157,3
158,5
159,4
160,3
161,1
162,4
163,1
164,5
165,4
166,2
167,2
168,2
169,1
170,2
171,4
172,1
173,3
174,5
175,4
176,3
177,4
178,3
179,2
180,4
181,1
182,2
183,1
184,5
185,2
186,2
187,2
188,3
189,1
190,5
191,1
192,5
193,2
194,3
195,2
196,3
197,1
198,1
199,5
200,2
201,2
202,4
203,5
204,5
205,2
206,2
207,5
208,3
209,5
210,1
211,3
212,3
213,1
214,3
215,4
216,1
217,4
218,5
219,2
220,4
221,3
222,4
223,3
224,4
225,1
226,3
227,2
228,3
229,5
230,5
231,3
232,5
233,3
234,2
235,3
236,3
237,2
238,4
239,4
240,1
241,3
242,2
243,5
244,1
245,5
246,2
247,1
248,4
249,2
250,5
251,5
252,2
253,4
254,3
255,1
256,5
257,1
258,4
259,5
260,4
261,3
262,5
263,4
264,5
265,5
266,3
267,1
268,5
269,2
270,4
271,3
272,2
273,1
274,3
275,4
276,5
277,2
278,4
279,5
280,3
281,5
282,3
283,5
284,2
285,1
286,2
287,5
288,5
289,1
290,3
291,4
292,2
293,4
294,3
295,5
296,5
297,5
298,5
299,5
300,4
301,5
302,4
303,4
304,1
305,2
306,4
307,5
308,3
309,2
310,5
311,3
312,5
313,2
314,3
315,5
316,2
317,1
318,4
319,5
320,3
321,1
322,5
323,4
324,2
325,5
326,4
327,3
328,1
329,2
330,2
331,4
332,5
333,3
334,3
335,3
336,4
337,1
338,3
339,2
340,2
341,4
342,5
343,1
344,2
345,1
346,4
347,3
348,3
349,5
350,4
351,3
352,5
353,5
354,1
355,1
356,2
357,5
358,5
359,3
360,5
361,1
362,3
363,5
364,1
365,1
366,2
367,5
368,3
369,4
370,3
371,3
372,2
373,4
374,5
375,4
376,5
377,3
378,3
379,5
380,3
381,2
382,3
383,4
384,4
385,5
386,1
387,4
388,1
389,1
390,5
391,1
392,5
393,2
394,1
395,3
396,2
397,2
398,1
399,5
400,1
401,5
402,3
403,1
404,1
405,5
406,5
407,2
408,3
409,3
410,3
411,2
412,4
413,3
414,4
415,5
416,3
417,2
418,5
419,4
420,1
421,4
422,3
423,1
424,5
425,3
426,5
427,2
428,4
429,2
430,5
431,1
432,5
433,3
434,4
435,4
436,1
437,1
438,1
439,4
440,5
441,2
442,5
443,5
444,3
445,2
446,4
447,2
448,4
449,1
450,5
451,4
452,2
453,2
454,2
455,5
456,2
457,5
458,5
459,2
460,2
461,3
462,1
463,5
464,3
465,1
466,5
467,1
468,4
469,3
470,4
471,4
472,3
473,3
474,2
475,3
476,5
477,5
478,1
479,4
480,2
481,4
482,3
483,1
484,5
485,4
486,4
487,3
488,1
489,4
490,4
491,3
492,2
493,3
494,4
495,1
496,4
497,1
498,1
499,5
500,5
